actividad,ciudad,departamento,direccion,nit,nombre,telefono
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",CALI,VALLE,CARRERA 4 OESTE 2 A 17,8903025046,"DatosGeneralesde,MelidaRestrepoEscobarYCompaniaLtda",3148890328
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,CALLE 12 9 55 INT 1,8001571361,"DatosGeneralesde,ComercializadoraKaysserCKSas",(1)2861844
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,CALLE 113 7 21 TORRE A OFICINA 1111 EDIFICIO TELEPORT,9007114481,"DatosGeneralesde,PhoenixTowerInternationalColombiaLtda",(1)5140011
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",SABANETA,ANTIOQUIA,CALLE 82 SUR 47 F 85,8909248405,"DatosGeneralesde,InversionesFerbienesSAS",3128165782
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,CALLE 26 69 B 45 OF 608,9005360582,"DatosGeneralesde,CorporacionDeInversionesDeColombiaSaSucursalColombia",(1)4054000
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",YUMBO,VALLE,CARRERA 34 10 581,9000495197,"DatosGeneralesde,Invgroup18SA",(2)6850000
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",MEDELLIN,ANTIOQUIA,CARRERA 29 C 10 C 125,9010020649,"DatosGeneralesde,PromotoraInmobiliariaBrujasSAS",(4)3224740
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",MEDELLIN,ANTIOQUIA,CARRERA 52 14 30 LOCAL 140,8000825851,"DatosGeneralesde,AParraSAS",(4)3502990
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BUCARAMANGA,SANTANDER,VIA PALENQUE CAFE MADRID 44 96,8902083958,"DatosGeneralesde,CentralDeAbastosDeBucaramangaSA",3134419413
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",MEDELLIN,ANTIOQUIA,CALLE 10 B 35 27,9010268132,"DatosGeneralesde,PromotoraCiudadJardinLaCejaSAS",(4)2665433
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,AVENIDA AMERICAS 42 A 21,9008067080,"DatosGeneralesde,ReicSAS",(1)2680869
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",PALMIRA,VALLE,LUGAR KM 7 VIA PALMIRA   EL CERRITO,8150051601,"DatosGeneralesde,AgricolaLaMacarenaLtda",(2)2752727
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",CALI,VALLE,CARRERA 5 21 48,9007811605,"DatosGeneralesde,BaronaSas",3217601655
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,CALLE 137 55 42 APTO 1701 INTERIOR 3,9004122586,"DatosGeneralesde,DiosoWajaIraSAS",(1)2573887
" ,Actividades inmobiliarias realizadas con bienes propios o arrendados",BOGOTA,BOGOTA,CARRERA 9 116 20 CS 205,9002108721,"DatosGeneralesde,InversionesYServiciosManidanSAS",(1)2158318
